# N=999  D=30  Area=100
# id x y
0 50 50
1 63 11
2 28 13
3 26 21
4 35 81
5 36 79
6 99 51
7 87 95
8 48 89
9 93 14
10 93 51
11 35 36
12 45 69
13 72 98
14 43 18
15 3 86
16 23 21
17 15 53
18 13 3
19 52 38
20 73 82
21 14 18
22 87 63
23 83 21
24 21 79
25 85 31
26 49 69
27 77 34
28 20 9
29 82 75
30 47 83
31 80 75
32 18 48
33 91 50
34 72 58
35 100 50
36 80 87
37 21 13
38 21 31
39 45 65
40 2 19
41 80 80
42 98 12
43 41 20
44 98 26
45 51 48
46 29 78
47 94 1
48 99 64
49 75 45
50 25 51
51 28 63
52 83 25
53 84 34
54 31 97
55 51 66
56 98 53
57 86 7
58 24 46
59 68 72
60 76 51
61 55 23
62 41 29
63 36 17
64 75 68
65 70 3
66 35 98
67 61 26
68 99 31
69 30 68
70 2 32
71 30 71
72 36 18
73 27 15
74 17 59
75 58 52
76 83 22
77 29 53
78 32 51
79 0 4
80 64 7
81 11 80
82 25 96
83 9 49
84 93 64
85 8 9
86 0 72
87 79 46
88 34 54
89 70 37
90 60 69
91 51 98
92 91 88
93 31 61
94 72 70
95 98 91
96 32 71
97 42 93
98 47 32
99 82 47
100 1 79
101 78 12
102 62 36
103 14 14
104 57 56
105 10 11
106 96 0
107 28 32
108 27 58
109 69 65
110 23 36
111 23 38
112 27 52
113 22 56
114 90 56
115 64 85
116 45 27
117 32 78
118 64 15
119 40 46
120 48 96
121 1 91
122 85 98
123 94 0
124 84 17
125 29 89
126 90 29
127 5 57
128 92 42
129 92 53
130 80 33
131 10 87
132 0 31
133 20 62
134 13 79
135 4 78
136 81 77
137 73 37
138 53 52
139 50 86
140 48 92
141 13 68
142 48 77
143 96 68
144 90 98
145 37 74
146 38 67
147 65 90
148 3 76
149 75 25
150 40 28
151 11 34
152 89 38
153 74 33
154 12 90
155 61 33
156 2 44
157 32 4
158 53 92
159 40 39
160 88 22
161 64 34
162 63 10
163 100 0
164 39 5
165 87 77
166 42 99
167 71 93
168 93 69
169 40 21
170 97 23
171 80 34
172 57 65
173 99 6
174 61 48
175 98 63
176 54 91
177 4 80
178 71 98
179 24 19
180 68 62
181 83 27
182 55 32
183 50 38
184 94 34
185 53 38
186 25 35
187 53 36
188 54 96
189 87 47
190 36 64
191 20 64
192 50 40
193 84 14
194 62 56
195 19 57
196 71 86
197 71 21
198 25 47
199 61 97
200 11 10
201 97 37
202 60 88
203 96 45
204 34 32
205 60 54
206 31 83
207 97 97
208 88 16
209 3 98
210 96 91
211 55 20
212 13 37
213 44 14
214 39 10
215 21 75
216 40 53
217 69 5
218 97 11
219 50 82
220 49 66
221 64 67
222 20 27
223 25 13
224 10 57
225 79 34
226 34 89
227 24 74
