# N=999  D=30  Area=100
# id x y
0 50 50
1 72 19
2 47 46
3 24 38
4 43 47
5 14 77
6 50 2
7 33 64
8 8 28
9 18 19
10 15 65
11 52 53
12 45 48
13 42 1
14 62 98
15 6 57
16 22 87
17 44 68
18 91 90
19 96 47
20 10 77
21 19 85
22 74 60
23 80 98
24 59 7
25 56 56
26 18 68
27 28 56
28 12 98
29 11 15
30 88 51
31 27 22
32 40 38
33 43 75
34 29 87
35 43 32
36 93 30
37 62 52
38 44 92
39 49 12
40 43 27
41 28 34
42 80 61
43 58 38
44 77 37
45 54 100
46 14 73
47 56 98
48 88 47
49 13 77
50 1 77
51 88 55
52 67 86
53 93 11
54 81 55
55 37 97
56 24 94
57 37 25
58 84 53
59 47 47
60 3 36
61 89 78
62 42 34
63 53 18
64 69 4
65 93 68
66 12 9
67 88 26
68 75 79
69 72 49
70 12 32
71 58 29
72 70 37
73 45 3
74 7 3
75 55 3
76 48 69
77 8 82
78 14 46
79 24 26
80 70 29
81 18 49
82 34 94
83 9 63
84 67 68
85 7 66
86 36 21
87 20 74
88 27 89
89 68 51
90 25 79
91 92 22
92 66 83
93 36 72
94 9 87
95 30 62
96 32 78
97 73 64
98 30 49
99 94 78
100 30 37
101 63 8
102 55 72
103 35 89
104 37 5
105 25 95
106 25 68
107 28 78
108 26 41
109 24 42
110 52 11
111 31 81
112 55 50
113 93 86
114 34 43
115 65 90
116 66 94
117 73 79
118 44 64
119 55 51
120 70 77
121 2 67
122 41 51
123 65 62
124 43 98
125 73 58
126 43 0
127 25 71
128 70 28
129 15 61
130 5 13
131 61 27
132 98 58
133 25 92
134 28 99
135 66 67
136 49 23
137 11 53
138 10 29
139 97 73
140 1 93
141 12 47
142 43 87
143 33 11
144 84 75
145 28 71
146 38 56
147 26 35
148 92 56
149 97 45
150 49 76
151 52 16
152 89 11
153 18 24
154 86 79
155 100 48
156 50 44
157 85 79
158 12 24
159 75 34
160 55 89
161 8 1
162 85 68
163 15 20
164 33 50
165 93 38
166 76 40
167 79 6
168 76 31
169 79 49
170 31 89
171 92 98
172 20 32
173 10 59
174 99 63
175 52 39
176 85 35
177 49 8
178 10 83
179 4 6
180 50 93
181 95 10
182 19 98
183 31 95
184 14 33
185 20 10
186 57 52
187 91 100
188 20 41
189 95 4
190 51 30
191 100 97
192 71 4
193 29 76
194 41 87
195 50 65
196 17 50
197 21 10
198 31 55
199 44 73
200 0 73
201 1 99
202 4 73
203 97 92
204 17 65
205 69 30
206 67 71
207 21 69
208 39 92
209 4 25
210 29 48
211 84 88
212 77 84
213 31 13
214 81 37
215 95 41
216 100 61
217 28 50
218 6 88
219 96 72
220 9 92
221 67 98
222 92 96
223 8 2
224 64 79
225 40 84
226 27 29
227 82 15
228 75 4
229 78 61
230 14 38
231 71 7
232 82 38
233 52 6
234 23 30
235 35 70
236 23 84
237 21 25
238 83 20
239 56 37
240 14 17
241 37 76
242 39 86
243 39 77
244 26 45
245 3 79
246 96 99
247 94 79
248 13 70
249 75 39
250 21 90
251 81 100
252 99 94
253 43 34
254 9 8
255 66 100
256 73 29
257 88 71
258 24 67
259 21 17
260 65 85
261 73 26
262 3 78
263 41 58
264 31 35
265 92 87
266 62 50
267 10 21
268 3 89
269 24 63
270 18 8
271 85 96
272 26 2
273 30 77
274 45 98
275 85 58
276 80 73
277 82 34
278 83 46
279 37 72
280 43 25
281 34 53
282 90 94
283 36 74
284 67 19
285 56 67
286 92 50
287 86 37
288 86 73
289 26 26
290 82 62
291 80 44
292 28 31
293 40 41
294 25 32
295 34 40
296 20 3
297 45 73
298 33 72
299 19 3
300 81 68
301 72 21
302 77 23
303 60 3
304 48 65
305 77 80
306 32 25
307 31 23
308 85 65
309 77 52
310 49 38
311 59 23
312 29 33
313 35 98
314 19 6
315 68 35
316 12 14
317 50 58
318 19 63
319 85 66
320 75 49
321 47 18
322 91 3
323 35 66
324 7 46
325 61 98
326 64 53
327 2 24
328 45 72
329 74 35
330 80 75
331 44 60
332 14 51
333 49 36
334 97 48
335 65 21
336 59 55
337 18 74
338 13 10
339 64 61
340 36 81
341 13 17
342 96 21
343 56 73
344 74 29
345 99 22
346 60 58
347 38 69
348 19 22
349 7 86
350 12 0
351 77 78
352 18 25
353 92 46
354 75 1
355 63 46
356 44 70
357 2 97
358 51 0
359 7 40
360 42 84
361 62 100
362 52 59
363 76 12
364 97 57
365 78 70
366 17 57
367 72 74
368 68 40
369 41 24
370 61 38
371 30 8
372 31 51
373 22 89
374 59 37
375 39 43
376 94 87
377 76 16
378 0 13
379 2 11
380 53 47
381 98 94
382 97 69
383 95 43
384 3 52
385 65 73
386 73 57
387 80 45
388 82 52
389 56 97
390 8 76
391 60 32
392 32 92
393 99 11
394 34 48
395 30 87
396 10 43
397 88 70
398 93 13
399 25 13
400 99 31
401 95 35
402 3 77
403 61 11
404 86 91
405 74 70
406 99 37
407 92 77
408 4 46
409 92 45
410 15 40
411 87 36
412 32 8
413 59 63
414 65 55
415 38 54
416 53 50
417 96 43
418 11 12
419 55 75
420 44 36
421 64 74
422 85 48
423 55 59
424 73 24
425 63 67
426 66 59
427 81 7
428 64 25
429 11 100
430 65 6
431 89 62
432 70 24
433 52 93
434 54 74
435 95 15
436 83 57
437 11 21
438 8 85
439 21 1
440 0 65
441 64 87
442 24 11
443 98 72
444 74 28
445 79 13
446 20 62
447 37 99
448 61 81
449 26 40
450 74 4
451 39 96
452 27 56
453 47 77
454 78 87
455 0 36
456 93 96
457 19 23
458 47 58
459 3 50
460 3 87
461 78 67
462 72 68
463 14 48
464 6 3
465 82 41
466 10 24
467 81 52
468 48 20
469 21 79
470 25 81
471 67 5
472 10 3
473 20 28
474 70 33
475 1 21
476 5 92
477 46 23
478 58 26
479 87 83
480 15 88
481 66 80
482 28 33
483 75 19
484 63 18
485 6 2
486 85 43
487 28 65
488 47 40
489 0 93
490 69 45
491 20 39
492 78 24
493 14 81
494 64 20
495 22 78
496 24 75
497 37 79
498 1 6
499 41 18
500 51 14
501 26 19
502 38 73
503 73 84
504 80 22
505 22 42
506 34 23
507 68 96
508 40 65
509 7 72
510 14 92
511 11 2
512 18 13
513 81 71
514 91 81
515 2 59
516 68 1
517 46 64
518 49 72
519 57 91
520 23 51
521 0 92
522 51 34
523 36 22
524 38 11
525 40 73
526 79 84
527 95 48
528 98 83
529 58 77
530 96 79
531 93 1
532 42 42
533 99 73
534 27 2
535 48 90
536 14 21
537 94 94
538 26 92
539 39 97
540 13 27
541 47 45
542 64 95
543 92 91
544 54 17
545 92 88
546 12 59
547 75 10
548 53 64
549 92 92
550 100 71
551 66 7
552 88 72
553 93 39
554 83 84
555 49 29
556 72 70
557 36 76
558 86 93
559 78 92
560 94 53
561 95 22
562 84 82
563 40 5
564 69 77
565 20 2
566 95 94
567 46 85
568 25 83
569 45 76
570 82 50
571 24 44
572 23 98
573 43 22
574 71 43
575 97 79
576 48 50
577 7 94
578 26 37
579 8 61
580 30 83
581 100 40
582 0 68
583 100 31
584 47 24
585 70 45
586 86 59
587 21 72
588 10 69
589 18 2
590 9 52
591 49 60
592 43 38
593 11 20
594 38 21
595 1 92
596 20 90
597 95 14
598 47 64
599 44 11
600 93 17
601 74 51
602 99 16
603 50 6
604 93 83
605 79 8
606 60 12
607 62 6
608 52 71
609 9 99
610 59 68
611 0 61
612 75 30
613 88 30
614 68 21
615 57 56
616 48 46
617 16 13
618 10 54
619 2 36
620 36 70
621 37 93
622 91 40
623 43 13
624 78 18
625 27 13
626 100 0
