# N=100  D=15  Area=100
# id x y
0 50 50
1 52 85
2 41 7
3 99 21
4 63 77
5 67 77
6 24 14
7 37 39
8 8 0
9 80 33
10 92 16
11 50 72
12 59 64
13 98 11
14 73 33
15 91 12
16 36 28
17 73 55
18 67 30
19 8 13
20 28 14
21 79 26
22 70 100
23 30 40
24 38 33
25 89 73
26 56 92
27 43 45
28 91 57
29 83 36
30 5 16
31 39 98
32 67 34
33 43 29
34 4 0
35 98 100
36 2 63
37 13 64
38 67 22
39 92 86
40 13 23
41 94 74
42 77 38
43 11 15
44 61 81
45 91 60
46 2 67
47 4 19
48 50 2
49 11 32
50 31 5
51 41 86
52 84 48
53 63 52
54 63 70
55 34 33
56 95 27
57 89 2
58 64 77
59 15 44
60 30 12
61 60 24
62 11 88
63 1 71
64 83 41
65 84 89
66 85 28
67 67 32
68 72 32
69 14 31
70 45 96
71 19 88
72 18 69
73 33 90
74 69 6
75 98 37
76 41 100
77 8 64
78 36 90
79 79 77
80 18 80
81 35 76
82 28 90
83 79 76
84 72 21
85 22 54
86 34 24
87 34 21
88 81 96
89 88 66
90 63 1
91 13 66
92 82 51
93 92 90
94 11 5
95 72 61
96 9 86
97 61 39
98 28 56
99 47 3
