# N=100  D=15  Area=100
# id x y
0 50 50
1 78 55
2 63 27
3 72 81
4 95 72
5 79 93
6 93 71
7 63 59
8 50 6
9 51 18
10 57 55
11 96 49
12 87 55
13 19 46
14 72 77
15 68 29
16 51 39
17 91 1
18 7 6
19 8 86
20 90 49
21 49 100
22 9 2
23 93 3
24 11 46
25 98 0
26 31 23
27 23 46
28 77 37
29 62 45
30 50 55
31 80 40
32 15 23
33 19 78
34 7 0
35 72 11
36 16 27
37 28 51
38 84 15
39 48 1
40 71 83
41 53 79
42 24 16
43 36 100
44 96 9
45 50 38
46 64 67
47 44 78
48 98 74
49 93 62
50 66 67
51 79 30
52 52 28
53 85 77
54 70 96
55 53 2
56 56 57
57 8 77
58 37 18
59 73 16
60 19 18
61 16 83
62 7 48
63 43 0
64 31 90
65 34 61
66 22 80
67 96 36
68 14 19
69 35 88
70 91 38
71 90 81
72 0 75
73 36 40
74 28 83
75 75 11
76 42 53
77 38 72
78 100 46
79 19 50
80 6 33
81 43 96
82 58 9
83 24 14
84 55 3
85 68 83
86 71 75
87 65 3
88 75 75
89 60 2
90 21 86
91 81 36
92 29 31
93 43 100
94 34 80
95 42 57
96 65 12
97 60 33
98 63 39
99 2 97
