# N=100  D=45  Area=100
# id x y
0 50 50
1 54 21
2 11 19
3 90 35
4 100 91
5 66 73
6 98 58
7 75 64
8 42 70
9 31 77
10 69 51
11 6 16
12 99 7
13 90 61
14 37 67
15 28 34
16 42 5
17 63 78
18 88 33
19 83 53
20 37 1
21 96 72
22 49 33
23 31 13
24 43 93
25 39 63
26 30 28
27 60 8
28 14 76
29 19 84
30 88 64
31 60 88
32 61 51
33 80 82
34 17 26
35 34 73
36 48 66
37 66 65
38 83 30
39 53 26
40 64 26
41 88 0
42 92 18
43 87 9
44 43 55
45 79 16
46 26 85
47 92 45
48 10 43
49 45 50
50 80 24
51 62 38
52 53 19
53 89 49
54 44 17
55 54 36
56 92 20
57 5 35
58 17 56
59 61 52
60 44 91
61 73 20
62 60 38
63 69 22
64 4 70
65 16 72
66 54 87
67 34 10
68 35 84
69 88 10
70 56 6
71 83 0
72 61 80
73 91 58
74 58 2
75 100 15
76 17 31
77 84 62
78 70 89
79 96 25
80 91 87
81 35 30
82 75 82
83 82 83
84 45 7
85 36 9
86 98 51
87 62 94
88 48 29
89 98 49
90 43 52
91 24 82
92 45 82
93 95 11
94 71 93
95 32 62
96 52 93
97 47 19
98 19 80
99 83 85
