# N=100  D=45  Area=100
# id x y
0 50 50
1 39 79
2 8 55
3 9 36
4 54 55
5 38 90
6 61 52
7 27 11
8 49 29
9 17 83
10 76 77
11 87 95
12 27 6
13 78 87
14 29 17
15 61 30
16 91 72
17 16 44
18 47 80
19 71 38
20 46 26
21 93 80
22 54 3
23 44 71
24 68 8
25 36 17
26 18 53
27 43 87
28 90 47
29 70 51
30 58 32
31 59 85
32 68 42
33 73 1
34 68 57
35 15 100
36 27 26
37 25 50
38 55 22
39 70 21
40 88 7
41 82 34
42 74 71
43 7 20
44 70 5
45 33 18
46 71 91
47 32 88
48 80 65
49 73 17
50 66 53
51 8 33
52 100 96
53 67 97
54 13 41
55 72 84
56 22 74
57 50 9
58 28 10
59 59 34
60 76 14
61 42 70
62 2 41
63 9 58
64 4 95
65 87 3
66 53 92
67 34 7
68 73 87
69 99 49
70 90 68
71 6 39
72 10 0
73 3 77
74 21 42
75 87 63
76 59 52
77 60 3
78 40 64
79 64 23
80 22 27
81 40 46
82 14 7
83 57 11
84 58 70
85 91 30
86 9 7
87 10 87
88 66 30
89 17 87
90 54 37
91 20 56
92 80 15
93 86 72
94 67 70
95 49 95
96 96 75
97 96 24
98 54 100
99 100 16
