# N=300  D=30  Area=100
# id x y
0 50 50
1 62 57
2 26 70
3 35 91
4 44 67
5 18 41
6 1 54
7 99 72
8 66 39
9 94 60
10 30 92
11 71 20
12 79 90
13 4 54
14 9 54
15 73 41
16 95 70
17 15 79
18 46 11
19 17 74
20 69 6
21 76 24
22 68 14
23 25 59
24 57 36
25 75 44
26 50 59
27 0 36
28 91 3
29 100 64
30 97 73
31 60 98
32 32 26
33 95 52
34 31 90
35 93 73
36 57 47
37 42 56
38 51 73
39 30 29
40 49 22
41 11 34
42 80 32
43 82 57
44 35 25
45 68 75
46 5 51
47 48 47
48 59 76
49 54 86
50 52 25
51 11 76
52 100 39
53 22 58
54 29 45
55 75 76
56 12 48
57 37 33
58 51 27
59 59 78
60 55 12
61 9 92
62 46 15
63 49 58
64 12 54
65 2 52
66 94 79
67 13 64
68 28 28
69 0 93
70 21 93
71 49 83
72 0 43
73 29 62
74 22 44
75 82 77
76 77 22
77 49 69
78 66 74
79 39 50
80 55 80
81 93 82
82 29 33
83 4 93
84 37 0
85 73 95
86 82 84
87 48 29
88 4 6
89 93 83
90 46 52
91 84 1
92 11 0
93 39 47
94 97 19
95 83 40
96 23 54
97 96 62
98 67 54
99 23 8
100 64 87
101 88 12
102 77 46
103 77 56
104 18 26
105 60 56
106 31 24
107 18 93
108 63 26
109 90 96
110 95 22
111 47 21
112 60 46
113 11 50
114 79 95
115 63 74
116 17 56
117 96 7
118 32 9
119 57 96
120 23 99
121 2 99
122 52 43
123 55 53
124 49 96
125 67 33
126 64 80
127 57 90
128 26 76
129 59 25
130 64 70
131 48 32
132 56 91
133 72 49
134 53 94
135 27 24
136 20 94
137 62 0
138 80 5
139 79 3
140 89 58
141 29 59
142 48 49
143 17 64
144 5 7
145 43 89
146 62 87
147 94 69
148 50 92
149 45 52
150 35 33
151 22 54
152 10 42
153 3 20
154 6 36
155 34 20
156 31 83
157 8 88
158 70 21
159 77 38
160 1 37
161 98 8
162 79 53
163 78 57
164 83 27
165 11 32
166 84 75
167 42 70
168 43 29
169 89 89
170 66 33
171 81 84
172 79 72
173 19 89
174 85 65
175 50 87
176 82 62
177 90 20
178 48 66
179 57 82
180 10 53
181 22 68
182 13 15
183 51 96
184 95 19
185 9 18
186 78 66
187 60 27
188 64 55
189 9 43
190 33 88
191 93 32
192 19 86
193 18 3
194 22 2
195 39 55
196 71 1
197 46 64
198 76 17
199 26 34
200 65 9
201 47 44
202 71 36
203 47 63
204 40 58
205 37 39
206 54 80
207 53 51
208 51 100
209 70 87
210 22 0
211 89 53
212 34 85
213 51 93
214 39 6
215 76 73
216 44 74
217 0 76
218 55 98
219 56 32
220 7 25
221 32 39
222 53 73
223 52 55
224 78 12
225 84 81
226 14 87
227 15 37
228 14 99
229 49 90
230 51 64
231 16 27
232 44 11
233 93 88
234 96 97
235 14 33
236 51 32
237 10 8
238 4 100
239 14 35
240 88 63
241 66 45
242 26 38
243 86 23
244 72 60
245 45 47
246 47 60
247 59 0
248 6 48
249 16 50
250 94 23
251 52 63
252 84 89
253 94 99
254 79 15
255 98 56
256 58 1
257 97 10
258 27 86
259 62 36
260 5 47
261 16 53
262 66 71
263 8 82
264 76 91
265 45 56
266 36 56
267 17 49
268 87 96
269 89 38
270 50 40
271 2 92
272 92 96
273 78 86
274 100 70
275 43 83
276 35 13
277 50 65
278 45 90
279 98 39
280 51 11
281 16 14
282 100 10
283 85 7
284 64 41
285 40 49
286 22 64
287 16 64
288 16 33
289 57 54
290 46 95
291 67 48
292 57 85
293 76 64
294 3 80
295 1 35
296 94 61
297 81 9
298 83 32
299 47 84
