# N=300  D=30  Area=100
# id x y
0 50 50
1 0 48
2 52 25
3 94 6
4 36 9
5 74 63
6 84 79
7 38 47
8 82 32
9 35 15
10 43 89
11 55 88
12 72 90
13 71 37
14 57 63
15 39 50
16 4 33
17 72 4
18 95 56
19 46 63
20 48 28
21 89 96
22 76 96
23 50 25
24 67 98
25 21 97
26 69 28
27 43 67
28 57 59
29 50 95
30 38 93
31 26 59
32 13 29
33 43 34
34 1 72
35 33 8
36 68 15
37 63 56
38 72 46
39 69 42
40 55 8
41 45 63
42 21 68
43 15 75
44 29 92
45 97 98
46 68 18
47 17 91
48 31 21
49 23 22
50 52 1
51 27 52
52 93 67
53 17 17
54 24 32
55 7 20
56 86 4
57 76 29
58 92 17
59 34 36
60 32 49
61 48 7
62 49 99
63 42 55
64 10 11
65 13 11
66 34 27
67 97 15
68 86 89
69 54 47
70 67 65
71 46 86
72 78 80
73 10 41
74 38 65
75 30 85
76 28 65
77 44 10
78 63 83
79 33 12
80 66 31
81 23 25
82 17 100
83 64 75
84 92 1
85 52 64
86 58 22
87 21 55
88 75 12
89 96 26
90 89 94
91 97 85
92 24 72
93 71 42
94 57 68
95 78 91
96 5 33
97 81 92
98 39 26
99 16 91
100 4 43
101 99 66
102 85 23
103 92 63
104 19 23
105 31 14
106 45 19
107 64 100
108 9 11
109 85 38
110 33 82
111 81 81
112 85 84
113 81 66
114 21 100
115 25 95
116 42 44
117 97 89
118 98 3
119 80 22
120 68 33
121 80 88
122 49 36
123 52 94
124 100 79
125 75 42
126 84 20
127 96 86
128 35 87
129 16 76
130 20 91
131 7 51
132 74 97
133 16 72
134 35 32
135 31 48
136 56 17
137 43 87
138 99 61
139 5 89
140 17 71
141 41 83
142 61 100
143 0 78
144 95 59
145 44 38
146 48 51
147 13 56
148 22 45
149 52 32
150 6 74
151 25 85
152 45 87
153 79 46
154 76 37
155 77 48
156 1 26
157 44 46
158 67 28
159 85 36
160 18 27
161 72 20
162 99 12
163 36 61
164 42 70
165 65 81
166 70 1
167 35 65
168 58 52
169 90 87
170 86 75
171 54 61
172 64 74
173 77 27
174 22 23
175 94 61
176 11 29
177 83 37
178 84 92
179 46 60
180 100 47
181 87 37
182 0 49
183 65 43
184 89 56
185 3 16
186 69 14
187 45 18
188 50 97
189 81 68
190 95 89
191 61 97
192 44 60
193 82 0
194 16 45
195 19 60
196 96 42
197 26 60
198 18 86
199 53 0
200 15 86
201 61 28
202 70 97
203 16 47
204 31 43
205 48 73
206 61 93
207 19 83
208 64 66
209 75 73
210 48 24
211 1 51
212 37 15
213 69 92
214 79 17
215 97 18
216 45 78
217 73 96
218 96 89
219 91 73
220 7 16
221 81 65
222 44 100
223 60 22
224 49 28
225 73 36
226 36 23
227 65 64
228 70 71
229 99 71
230 27 86
231 24 5
232 39 3
233 25 28
234 34 9
235 94 97
236 38 35
237 20 70
238 92 67
239 65 36
240 72 13
241 100 36
242 47 37
243 59 0
244 13 57
245 65 88
246 5 85
247 100 30
248 61 36
249 80 14
250 5 75
251 44 86
252 27 55
253 40 79
254 76 74
255 85 66
256 99 46
257 37 11
258 91 47
259 75 93
260 100 43
261 60 44
262 50 85
263 29 12
264 62 44
265 41 26
266 61 33
267 56 38
268 22 77
269 4 12
270 98 75
271 54 78
272 20 38
273 91 50
274 95 13
275 88 83
276 2 83
277 19 40
278 75 34
279 50 81
280 20 44
281 24 17
282 95 36
283 56 14
284 52 30
285 69 30
286 29 78
287 60 0
288 81 34
289 85 68
290 24 91
291 63 61
292 50 58
293 35 95
294 17 50
295 65 47
296 51 37
297 71 4
298 52 60
299 16 11
