# N=300  D=30  Area=100
# id x y
0 50 50
1 8 94
2 57 87
3 86 11
4 13 21
5 93 19
6 50 61
7 76 83
8 55 54
9 73 96
10 58 23
11 7 32
12 76 64
13 49 35
14 58 18
15 48 85
16 74 74
17 22 15
18 79 84
19 77 80
20 7 37
21 0 62
22 76 0
23 55 41
24 83 48
25 87 87
26 82 87
27 56 61
28 14 24
29 80 86
30 66 45
31 66 20
32 90 26
33 100 11
34 53 8
35 17 93
36 7 72
37 61 35
38 93 22
39 38 95
40 12 42
41 6 13
42 89 37
43 67 4
44 46 34
45 45 79
46 66 81
47 32 65
48 56 57
49 83 76
50 95 72
51 4 63
52 80 85
53 44 66
54 24 12
55 6 76
56 63 59
57 45 43
58 9 69
59 65 45
60 76 56
61 87 73
62 58 4
63 23 81
64 45 51
65 7 73
66 3 66
67 13 88
68 43 35
69 60 63
70 61 73
71 90 51
72 2 56
73 78 39
74 100 95
75 57 79
76 4 84
77 98 72
78 4 77
79 78 45
80 84 81
81 67 45
82 62 24
83 10 99
84 42 69
85 96 32
86 48 79
87 81 69
88 59 53
89 2 28
90 61 30
91 79 45
92 6 81
93 41 35
94 50 8
95 3 39
96 74 40
97 97 10
98 67 54
99 31 55
100 62 75
101 36 60
102 69 82
103 78 55
104 52 97
105 56 44
106 32 32
107 16 65
108 31 94
109 8 32
110 77 4
111 38 49
112 19 81
113 79 39
114 82 42
115 59 14
116 1 93
117 47 40
118 84 13
119 75 78
120 3 18
121 26 24
122 93 63
123 32 12
124 93 68
125 69 5
126 40 10
127 99 73
128 75 86
129 47 49
130 63 87
131 42 65
132 80 17
133 2 44
134 17 18
135 43 64
136 52 50
137 7 13
138 72 39
139 25 95
140 22 72
141 10 71
142 7 60
143 76 74
144 77 68
145 42 99
146 90 89
147 10 70
148 5 15
149 14 87
150 23 12
151 33 97
152 97 47
153 56 40
154 18 74
155 52 58
156 61 94
157 96 96
158 48 48
159 7 75
160 85 66
161 57 53
162 97 28
163 18 41
164 62 22
165 50 47
166 64 11
167 66 18
168 95 97
169 13 76
170 32 68
171 73 32
172 72 10
173 42 6
174 54 59
175 44 89
176 86 38
177 88 62
178 2 40
179 4 8
180 64 66
181 58 21
182 13 51
183 35 11
184 75 62
185 78 65
186 22 95
187 77 57
188 82 25
189 25 1
190 38 35
191 10 73
192 65 82
193 93 38
194 1 94
195 21 41
196 69 43
197 88 58
198 26 55
199 46 17
200 71 85
201 23 96
202 65 66
203 90 61
204 29 80
205 74 83
206 71 59
207 19 2
208 52 45
209 57 92
210 86 8
211 23 1
212 59 91
213 23 11
214 44 43
215 22 80
216 80 38
217 43 79
218 9 91
219 99 35
220 51 72
221 29 16
222 0 47
223 64 19
224 63 82
225 13 71
226 5 12
227 86 68
228 10 98
229 11 0
230 97 96
231 82 10
232 82 34
233 89 74
234 19 56
235 35 48
236 50 30
237 0 16
238 32 92
239 89 94
240 42 78
241 21 33
242 1 87
243 18 45
244 71 83
245 33 92
246 95 6
247 83 41
248 24 15
249 100 35
250 16 21
251 32 49
252 3 33
253 59 15
254 49 55
255 47 69
256 27 3
257 30 50
258 23 71
259 50 76
260 71 45
261 61 65
262 14 51
263 27 93
264 77 40
265 65 79
266 67 51
267 2 64
268 67 15
269 16 2
270 46 57
271 15 76
272 92 81
273 97 2
274 30 98
275 99 38
276 84 93
277 83 27
278 72 92
279 38 92
280 44 20
281 98 14
282 26 35
283 82 62
284 48 43
285 60 25
286 25 69
287 33 61
288 30 33
289 77 61
290 84 68
291 78 15
292 51 82
293 82 51
294 61 45
295 19 61
296 35 41
297 92 13
298 87 39
299 66 4
