# N=300  D=45  Area=100
# id x y
0 50 50
1 78 77
2 88 93
3 84 99
4 41 84
5 28 85
6 23 77
7 100 72
8 63 29
9 87 17
10 87 22
11 8 81
12 85 76
13 17 98
14 97 40
15 92 44
16 63 20
17 68 44
18 99 77
19 82 80
20 47 78
21 91 39
22 46 63
23 82 2
24 72 16
25 4 11
26 74 81
27 80 70
28 58 12
29 10 75
30 32 51
31 27 74
32 17 57
33 27 76
34 58 17
35 61 20
36 40 51
37 22 16
38 34 90
39 87 79
40 99 63
41 26 62
42 51 38
43 5 35
44 88 13
45 51 54
46 44 15
47 59 53
48 92 42
49 32 73
50 92 63
51 28 63
52 6 33
53 28 72
54 74 39
55 85 49
56 78 23
57 55 14
58 97 35
59 49 23
60 59 47
61 2 80
62 34 59
63 92 71
64 8 44
65 66 22
66 44 47
67 59 28
68 89 44
69 89 49
70 22 90
71 76 71
72 55 85
73 92 54
74 64 91
75 21 15
76 75 65
77 83 46
78 93 2
79 34 14
80 29 37
81 27 97
82 99 54
83 40 11
84 49 66
85 93 71
86 81 39
87 49 45
88 68 30
89 51 79
90 70 87
91 8 91
92 95 25
93 23 31
94 94 17
95 11 11
96 65 91
97 88 14
98 57 51
99 62 61
100 68 25
101 61 95
102 21 23
103 2 31
104 19 78
105 51 52
106 49 63
107 83 29
108 93 36
109 12 70
110 72 20
111 66 98
112 17 21
113 64 27
114 16 67
115 80 33
116 100 20
117 43 66
118 15 87
119 75 59
120 38 54
121 23 18
122 46 25
123 39 85
124 62 77
125 84 49
126 40 42
127 11 77
128 82 45
129 96 74
130 31 89
131 85 81
132 20 36
133 20 32
134 33 3
135 15 53
136 6 1
137 86 15
138 88 49
139 94 92
140 46 79
141 48 52
142 10 58
143 71 90
144 56 46
145 14 79
146 96 63
147 88 57
148 0 64
149 41 61
150 90 19
151 8 76
152 50 45
153 29 7
154 56 41
155 64 32
156 17 49
157 97 72
158 31 12
159 43 84
160 56 65
161 78 79
162 84 33
163 64 36
164 44 35
165 57 35
166 37 35
167 37 60
168 50 5
169 14 86
170 94 11
171 6 29
172 25 17
173 4 84
174 88 70
175 92 62
176 36 3
177 89 10
178 64 98
179 50 42
180 90 6
181 88 62
182 52 93
183 18 84
184 2 10
185 64 93
186 13 10
187 69 75
188 80 12
189 36 23
190 38 19
191 43 58
192 97 62
193 97 74
194 59 99
195 36 90
196 4 33
197 38 28
198 4 92
199 59 44
200 60 61
201 10 13
202 96 79
203 100 65
204 71 29
205 90 32
206 88 98
207 61 91
208 58 45
209 24 12
210 8 33
211 96 33
212 16 52
213 20 78
214 0 35
215 50 33
216 97 76
217 82 37
218 12 55
219 91 19
220 0 73
221 66 96
222 37 80
223 89 69
224 5 28
225 44 62
226 99 93
227 75 84
228 24 11
229 23 90
230 82 93
231 81 31
232 54 2
233 74 33
234 1 73
235 2 8
236 27 65
237 88 83
238 24 58
239 62 79
240 14 9
241 63 72
242 21 67
243 53 67
244 40 87
245 0 38
246 27 64
247 74 61
248 9 37
249 32 43
250 25 24
251 88 38
252 13 78
253 87 56
254 75 78
255 80 82
256 61 52
257 12 34
258 47 81
259 28 84
260 11 58
261 88 68
262 41 92
263 93 77
264 9 64
265 78 1
266 81 8
267 21 98
268 73 83
269 13 85
270 28 3
271 22 7
272 37 56
273 7 24
274 52 55
275 29 1
276 39 86
277 69 29
278 27 37
279 19 0
280 50 19
281 46 80
282 37 7
283 83 20
284 73 59
285 66 24
286 51 92
287 79 38
288 83 15
289 8 67
290 79 41
291 20 3
292 83 70
293 74 94
294 82 43
295 45 64
296 73 78
297 4 20
298 31 99
299 2 73
