# N=999  D=15  Area=100
# id x y
0 50 50
1 87 21
2 33 63
3 19 100
4 89 32
5 5 8
6 17 84
7 30 96
8 60 1
9 64 53
10 86 39
11 100 92
12 47 93
13 23 77
14 19 85
15 82 9
16 30 25
17 86 34
18 34 12
19 55 51
20 78 80
21 9 74
22 57 51
23 23 62
24 85 60
25 46 61
26 22 4
27 53 67
28 22 33
29 97 40
30 56 88
31 45 11
32 24 29
33 81 3
34 11 35
35 9 80
36 64 44
37 12 53
38 71 79
39 100 28
40 12 100
41 78 92
42 49 95
43 11 78
44 44 74
45 73 34
46 94 78
47 14 17
48 16 82
49 87 84
50 9 16
51 66 82
52 98 14
53 65 36
54 15 97
55 52 96
56 10 93
57 51 42
58 93 14
59 1 30
60 39 64
61 83 51
62 12 97
63 39 15
64 39 24
65 24 3
66 6 96
67 64 100
68 67 20
69 78 30
70 47 94
71 7 38
72 96 18
73 81 71
74 44 70
75 36 81
76 96 54
77 9 12
78 71 49
79 41 5
80 4 75
81 34 25
82 99 38
83 42 83
84 38 22
85 0 13
86 90 33
87 21 98
88 94 55
89 94 19
90 76 46
91 85 78
92 23 75
93 27 0
94 1 32
95 66 7
96 31 12
97 17 56
98 94 85
99 28 28
100 88 57
101 77 0
102 92 12
103 24 58
104 35 13
105 22 62
106 59 99
107 80 22
108 62 2
109 99 22
110 0 45
111 40 49
112 54 20
113 26 0
114 82 93
115 50 19
116 94 84
117 82 63
118 21 14
119 2 20
120 19 43
121 96 14
122 87 78
123 15 95
124 100 3
125 33 41
126 27 70
127 60 3
128 23 86
129 47 30
130 9 71
131 67 54
132 87 24
133 32 74
134 40 72
135 3 39
136 25 82
137 13 92
138 38 98
139 36 49
140 99 77
141 97 23
142 28 88
143 96 34
144 75 61
145 27 86
146 46 80
147 6 72
148 30 46
149 41 3
150 13 70
151 8 76
152 14 34
153 4 84
154 83 39
155 63 14
156 53 89
157 59 59
158 8 20
159 77 13
160 85 40
161 15 1
162 72 8
163 23 81
164 38 7
165 36 44
166 23 43
167 26 92
168 93 95
169 59 86
170 0 86
171 67 13
172 15 76
173 76 8
174 20 64
175 14 80
176 30 18
177 99 27
178 50 3
179 61 46
180 62 24
181 38 79
182 56 99
183 27 15
184 25 47
185 64 8
186 69 52
187 52 44
188 21 91
189 6 66
190 15 74
191 30 82
192 80 0
193 53 26
194 63 52
195 32 73
196 71 31
197 27 98
198 32 26
199 87 47
200 71 7
201 97 38
202 36 17
203 53 63
204 82 1
205 92 53
206 28 95
207 83 33
208 77 75
209 8 11
210 31 22
211 18 0
212 70 83
213 47 36
214 55 19
215 47 92
216 23 7
217 39 43
218 34 77
219 36 52
220 17 80
221 87 18
222 94 77
223 73 52
224 42 24
225 43 37
226 17 91
227 68 54
228 41 20
229 52 97
230 98 67
231 88 33
232 29 88
233 14 65
234 23 27
235 88 56
236 70 42
237 10 7
238 78 9
239 3 62
240 97 95
241 8 59
242 4 40
243 100 66
244 36 4
245 62 92
246 31 95
247 34 66
248 83 45
249 28 99
250 53 31
251 78 49
252 39 84
253 85 50
254 26 43
255 49 86
256 97 94
257 75 15
258 21 44
259 91 88
260 95 41
261 33 5
262 91 14
263 95 52
264 10 5
265 16 1
266 14 31
267 51 8
268 100 78
269 56 1
270 1 62
271 22 80
272 86 44
273 81 22
274 55 43
275 99 49
276 20 93
277 56 40
278 95 50
279 6 17
280 87 37
281 83 75
282 1 90
283 49 79
284 27 96
285 24 45
286 75 72
287 52 4
288 63 18
289 98 97
290 14 2
291 66 97
292 17 95
293 52 37
294 46 10
295 28 39
296 75 56
297 21 28
298 92 19
299 11 47
300 5 84
301 99 3
302 93 57
303 45 87
304 70 66
305 34 38
306 76 73
307 89 68
308 28 86
309 77 22
310 77 42
311 45 98
312 46 22
313 100 61
314 17 8
315 28 10
316 10 38
317 15 39
318 73 56
319 23 84
320 56 67
321 70 57
322 83 73
323 63 59
324 11 1
325 38 39
326 72 70
327 58 67
328 46 64
329 96 15
330 46 56
331 100 74
332 27 31
333 15 59
334 33 51
335 52 77
336 34 82
337 2 79
338 65 50
339 61 25
340 47 7
341 89 60
342 64 72
343 31 48
344 75 94
345 94 9
346 34 13
347 39 72
348 8 43
349 59 5
350 87 39
351 79 67
352 82 14
353 12 26
354 63 10
355 78 22
356 9 36
357 30 50
358 45 69
359 37 78
360 95 70
361 18 9
362 89 26
363 92 6
364 41 63
365 74 76
366 44 1
367 1 81
368 96 74
369 100 11
370 67 84
371 45 33
372 68 2
373 26 57
374 80 60
375 79 89
376 85 35
377 94 44
378 95 3
379 48 69
380 39 85
381 41 28
382 81 44
383 72 89
384 17 42
385 89 59
386 19 54
387 55 96
388 79 40
389 39 52
390 25 49
391 69 15
392 46 69
393 62 39
394 17 86
395 29 11
396 60 50
397 22 60
398 27 94
399 40 4
400 39 46
401 37 95
402 78 60
403 28 91
404 28 12
405 85 39
406 86 66
407 56 64
408 15 65
409 81 45
410 29 19
411 63 25
412 65 88
413 56 4
414 65 55
415 91 45
416 59 36
417 96 93
418 33 80
419 63 54
420 61 61
421 87 29
422 83 43
423 88 67
424 19 19
