# N=999  D=15  Area=100
# id x y
0 50 50
1 88 16
2 4 55
3 57 94
4 0 16
5 52 34
6 56 70
7 65 52
8 65 83
9 58 12
10 85 17
11 39 40
12 79 12
13 92 46
14 20 97
15 78 41
16 18 95
17 26 69
18 87 65
19 5 6
20 47 30
21 43 99
22 54 29
23 23 85
24 26 73
25 9 82
26 79 87
27 67 30
28 88 1
29 80 80
30 80 28
31 63 100
32 87 48
33 58 2
34 81 38
35 53 77
36 71 21
37 57 79
38 52 48
39 72 98
40 30 30
41 21 39
42 92 81
43 46 51
44 81 60
45 5 63
46 63 56
47 51 62
48 87 9
49 40 52
50 25 20
51 16 6
52 19 26
53 92 30
54 12 98
55 2 31
56 16 96
57 4 85
58 26 15
59 74 94
60 26 5
61 92 80
62 98 59
63 44 60
64 75 99
65 10 34
66 31 56
67 69 63
68 44 73
69 90 79
70 62 0
71 2 65
72 97 13
73 25 91
74 53 66
75 12 73
76 60 59
77 99 79
78 94 5
79 23 42
80 79 74
81 65 33
82 51 16
83 86 91
84 28 3
85 42 42
86 37 89
87 25 9
88 2 38
89 54 18
90 87 33
91 88 53
92 88 26
93 8 90
94 99 82
95 23 86
96 53 25
97 32 28
98 37 94
99 69 38
100 81 76
101 27 15
102 80 9
103 73 23
104 63 8
105 43 76
106 17 57
107 29 54
108 57 80
109 100 63
110 80 52
111 65 58
112 23 60
113 84 37
114 25 35
115 64 93
116 99 41
117 77 81
118 58 28
119 37 76
120 35 94
121 56 42
122 51 87
123 26 67
124 53 60
125 3 100
126 13 11
127 29 84
128 6 16
129 80 21
130 63 70
131 65 34
132 7 75
133 79 94
134 27 26
135 51 0
136 63 87
137 47 49
138 30 72
139 81 44
140 65 44
141 3 63
142 62 11
143 38 40
144 61 96
145 16 0
146 90 84
147 22 56
148 15 9
149 74 13
150 65 10
151 14 77
152 45 4
153 53 67
154 94 82
155 98 25
156 60 5
157 15 98
158 34 11
159 83 53
160 40 38
161 48 94
162 53 54
163 26 50
164 46 63
165 91 80
166 8 85
167 92 78
168 14 92
169 26 22
170 75 44
171 79 91
172 70 35
173 36 61
174 74 89
175 87 70
176 46 49
177 100 24
178 23 10
179 92 2
180 73 60
181 39 39
182 90 21
183 33 19
184 82 19
185 1 47
186 43 88
187 59 72
188 92 66
189 65 85
190 53 55
191 45 18
192 37 54
193 58 93
194 55 83
195 29 65
196 49 97
197 17 25
198 70 54
199 13 6
200 55 7
201 64 85
202 68 67
203 73 58
204 28 18
205 7 25
206 20 72
207 51 8
208 47 52
209 65 47
210 5 1
211 86 50
212 39 64
213 18 56
214 42 36
215 29 57
216 95 98
217 30 7
218 40 93
219 56 3
220 13 59
221 100 11
222 98 80
223 44 1
224 50 67
225 52 27
226 44 2
227 61 89
228 34 89
229 8 69
230 56 83
231 73 36
232 9 93
233 88 3
234 76 79
235 48 33
236 56 41
237 66 21
238 19 5
239 36 9
240 92 98
241 66 6
242 86 46
243 58 13
244 6 1
245 63 30
246 11 16
247 8 41
248 35 18
249 43 83
250 85 62
251 63 48
252 67 71
253 63 94
254 41 58
255 22 26
256 51 47
257 9 26
258 21 55
259 16 18
260 58 74
261 61 54
262 39 84
263 3 39
264 93 59
265 25 82
266 54 80
267 75 16
268 22 6
269 59 57
270 29 10
271 88 40
272 45 62
273 13 97
274 86 57
275 98 61
276 29 39
277 34 46
278 42 84
279 76 48
280 81 18
281 22 12
282 59 64
283 92 57
284 48 24
285 49 45
286 86 84
287 60 0
288 87 78
289 62 89
290 18 84
291 23 75
292 56 2
293 36 91
294 18 13
295 63 9
296 62 74
297 64 83
298 45 65
299 19 13
300 29 49
301 21 59
302 10 27
303 43 78
304 55 49
305 38 83
306 64 30
307 16 9
308 31 57
309 1 93
310 97 49
311 14 12
312 63 69
313 97 38
314 12 39
315 56 33
316 93 0
317 83 64
318 82 21
319 14 9
320 14 21
321 56 76
322 73 71
323 8 39
324 54 82
325 37 36
326 23 7
327 27 40
328 89 9
329 96 24
330 57 42
331 98 38
332 51 41
333 7 28
334 54 9
335 54 85
336 95 62
337 31 27
338 55 88
339 66 90
340 59 17
341 85 88
342 74 36
343 92 76
344 31 50
345 25 83
346 69 29
347 52 26
348 58 1
349 24 39
350 77 11
351 18 70
352 44 84
353 5 35
354 69 52
355 16 50
356 13 31
357 51 2
358 87 90
359 61 91
360 31 78
361 78 13
362 0 12
363 71 57
364 18 57
365 57 45
366 15 12
367 97 63
368 17 31
369 95 22
370 25 16
371 3 28
372 9 95
373 56 16
374 48 96
375 61 59
376 23 61
377 3 4
378 91 54
379 90 2
380 32 89
381 34 15
382 63 41
383 19 6
384 82 85
385 19 20
386 69 19
387 51 60
388 36 67
389 81 95
390 41 9
391 20 50
392 88 13
393 91 38
394 16 31
395 34 12
396 8 93
397 49 77
398 67 3
399 34 75
400 45 67
