# N=999  D=15  Area=100
# id x y
0 50 50
1 78 44
2 21 83
3 72 16
4 89 79
5 18 30
6 73 61
7 51 56
8 18 80
9 63 24
10 77 11
11 70 35
12 41 72
13 21 27
14 50 25
15 12 48
16 14 1
17 0 67
18 68 1
19 5 67
20 91 69
21 60 18
22 13 58
23 80 20
24 40 74
25 10 78
26 70 10
27 46 37
28 41 61
29 70 76
30 70 57
31 81 55
32 58 10
33 54 21
34 15 38
35 87 55
36 32 42
37 45 60
38 59 63
39 68 60
40 14 72
41 52 49
42 24 68
43 20 85
44 95 24
45 56 59
46 83 33
47 34 5
48 35 29
49 54 48
50 8 48
51 5 85
52 37 11
53 89 2
54 38 16
55 23 46
56 94 44
57 22 57
58 100 48
59 11 69
60 13 84
61 2 74
62 48 28
63 95 47
64 91 94
65 83 34
66 90 39
67 94 69
68 91 84
69 3 10
70 10 63
71 77 42
72 75 92
73 77 6
74 4 0
75 3 47
76 30 12
77 77 81
78 59 29
79 6 40
80 84 47
81 19 51
82 18 55
83 42 57
84 28 27
85 7 52
86 70 58
87 4 95
88 9 58
89 60 48
90 89 95
91 86 1
92 55 92
93 90 7
94 85 5
95 44 17
96 28 29
97 0 40
98 90 21
99 66 30
100 40 51
101 83 32
102 44 59
103 63 14
104 56 56
105 53 18
106 17 58
107 71 84
108 32 71
109 29 10
110 96 38
111 67 51
112 49 66
113 66 10
114 5 36
115 48 97
116 62 25
117 9 27
118 64 54
119 1 54
120 71 79
121 22 32
122 63 86
123 46 41
124 30 4
125 76 16
126 72 49
127 4 74
128 73 11
129 36 20
130 71 30
131 84 34
132 93 38
133 93 12
134 46 13
135 88 70
136 46 35
137 38 32
138 93 31
139 68 79
140 9 45
141 34 75
142 10 81
143 1 91
144 97 45
145 70 7
146 16 57
147 77 92
148 83 39
149 95 44
150 53 91
151 15 51
152 99 66
153 55 46
154 88 77
155 58 46
156 78 94
157 17 76
158 37 57
159 82 54
160 9 57
161 76 31
162 91 32
163 51 8
164 49 10
165 32 1
166 97 43
167 30 28
168 100 89
169 91 16
170 50 10
171 31 32
172 68 68
173 95 68
174 64 91
175 64 8
176 33 27
177 12 29
178 67 93
179 11 13
180 18 61
181 72 46
182 34 100
183 13 50
184 91 71
185 63 39
186 4 16
187 58 64
188 52 3
189 34 17
190 84 51
191 64 77
192 86 81
193 54 72
194 45 0
195 86 72
196 11 92
197 67 31
198 0 73
199 65 52
200 73 9
201 87 64
202 80 66
203 15 90
204 13 27
205 5 29
206 77 82
207 44 87
208 94 27
209 16 78
210 36 1
211 6 60
212 47 81
213 75 88
214 36 23
215 38 97
216 73 63
217 51 69
218 50 47
219 30 16
220 41 6
221 9 0
222 37 27
223 52 65
224 48 34
225 64 61
226 92 10
227 69 54
228 93 88
229 37 96
230 2 66
231 45 51
232 4 46
233 79 4
234 67 33
235 35 89
236 0 23
237 1 22
238 90 30
239 90 87
240 30 63
241 60 65
242 14 84
243 33 42
244 77 49
245 55 91
246 24 45
247 29 49
248 1 88
249 97 66
250 92 27
251 65 42
252 100 83
253 45 77
254 86 34
255 63 13
256 78 82
257 17 72
258 47 3
259 40 26
260 29 39
261 91 68
262 61 53
263 0 24
264 34 98
265 60 79
266 53 29
267 71 75
268 81 74
269 71 12
270 92 14
271 53 42
272 92 85
273 16 18
274 20 25
275 47 94
276 9 90
277 92 84
278 43 29
279 55 14
280 32 2
281 69 49
282 44 14
283 42 9
284 91 62
285 79 20
286 86 70
287 51 81
288 45 32
289 59 24
290 91 90
291 81 60
292 12 28
293 19 74
294 84 17
295 6 22
296 96 78
297 91 37
298 84 15
299 70 50
300 21 47
301 19 17
302 20 90
303 76 29
304 36 14
305 74 40
306 59 78
307 82 91
308 50 23
309 39 32
310 52 16
311 96 67
312 49 72
313 24 92
314 14 87
315 36 62
316 93 86
317 85 15
318 7 47
319 43 27
320 89 100
321 43 69
322 10 46
323 19 44
324 38 41
325 62 79
326 99 24
327 10 93
328 16 67
329 62 10
330 40 83
331 95 36
332 15 57
333 54 43
334 94 80
335 33 66
336 6 58
337 61 56
338 8 49
339 34 52
340 30 18
341 50 1
342 31 61
343 52 78
344 45 70
345 94 10
346 6 68
347 18 66
348 48 21
349 23 55
350 1 53
351 59 85
352 80 97
353 69 47
354 64 9
355 11 70
356 89 1
357 30 42
358 24 12
359 5 66
360 24 27
361 12 81
362 74 52
363 21 81
364 4 66
365 65 60
366 86 48
367 85 98
368 58 39
369 41 66
370 69 52
371 40 20
372 26 80
373 2 41
374 20 39
375 20 91
376 63 77
377 64 57
378 28 33
379 90 6
380 69 24
381 73 15
382 10 17
383 40 6
384 12 7
385 7 56
386 69 3
387 86 57
388 20 7
389 49 84
390 31 50
391 47 50
392 42 16
393 79 18
394 91 86
395 73 33
396 55 56
397 74 49
398 87 68
399 45 5
400 19 72
401 77 48
402 41 34
403 35 18
404 17 4
405 10 58
406 57 18
407 43 66
408 90 82
409 54 97
410 93 92
411 7 64
412 40 56
413 19 47
414 92 82
415 53 53
416 60 30
417 80 13
418 51 36
419 68 100
420 98 89
421 88 33
422 3 44
423 65 54
424 18 42
425 28 85
426 92 93
427 91 98
428 28 73
429 8 26
430 19 83
431 57 71
432 92 71
433 64 37
434 73 65
435 49 77
436 9 94
437 15 36
438 39 76
439 62 8
440 17 90
441 95 70
442 29 63
443 10 6
444 54 29
445 54 10
446 63 2
447 87 91
448 63 63
449 25 100
450 84 77
451 24 5
452 39 51
453 11 12
454 24 43
455 31 63
456 98 12
457 71 33
458 83 87
459 86 22
460 24 69
461 54 25
462 90 59
463 16 19
464 65 1
465 59 50
466 75 82
467 3 51
468 66 17
469 33 35
470 2 27
471 75 52
472 78 95
473 26 11
474 14 46
475 75 27
476 65 59
477 78 51
478 80 50
479 29 32
480 4 92
481 81 29
482 27 85
483 8 97
484 52 7
485 44 44
486 99 2
487 63 100
488 1 72
489 93 97
490 88 41
491 0 14
492 91 36
493 18 25
494 93 96
495 83 38
496 26 99
497 4 88
498 15 40
499 12 71
500 34 50
501 34 24
502 19 55
503 79 53
504 35 98
505 9 34
506 40 27
507 40 93
508 26 63
509 50 48
510 49 19
511 99 70
512 65 81
513 99 16
514 9 38
515 87 28
516 29 37
517 35 53
518 6 85
519 92 55
520 90 72
521 90 62
522 0 94
523 84 44
524 19 96
525 59 87
526 60 83
527 65 79
528 21 25
529 28 43
530 100 46
531 11 40
532 3 79
533 11 61
534 14 99
535 26 23
536 34 3
537 22 7
538 82 9
539 46 84
540 46 29
541 86 24
542 36 43
543 80 100
544 77 15
545 66 28
546 66 93
547 1 23
548 99 52
549 34 82
550 54 62
551 6 42
552 35 8
553 95 86
554 55 74
555 22 39
556 96 54
557 28 35
558 55 95
559 74 94
560 68 15
561 66 2
562 12 10
563 16 9
564 77 100
565 46 0
566 100 66
567 60 1
568 66 3
569 76 12
570 44 12
571 79 88
572 36 80
573 67 20
574 25 43
575 72 86
576 88 68
577 74 19
578 3 9
579 6 92
580 40 82
581 15 76
582 39 28
583 31 69
584 77 22
585 20 20
586 74 71
587 8 17
588 76 98
589 1 90
590 10 25
591 34 25
592 19 79
593 75 70
594 82 21
595 67 73
596 36 42
597 33 31
598 13 73
599 2 32
600 97 67
601 17 75
602 93 77
603 26 47
604 53 78
605 86 8
606 2 56
607 52 28
608 69 72
609 100 80
610 88 11
611 44 47
612 67 43
613 88 96
614 94 32
615 52 95
616 2 35
617 89 32
618 28 76
619 80 98
620 95 0
621 8 25
622 27 96
623 76 19
624 59 84
625 69 56
626 21 90
627 80 47
628 51 78
629 5 98
630 69 100
631 34 35
632 53 70
633 67 47
634 59 23
635 83 25
636 83 68
637 25 1
638 23 16
639 92 31
640 44 41
641 17 47
642 40 43
643 72 98
644 11 85
645 56 31
646 32 54
647 19 9
648 32 27
649 70 92
650 97 57
651 7 33
652 9 5
653 97 12
654 94 37
655 56 30
656 26 30
657 37 97
658 75 69
659 63 92
660 40 17
661 23 78
662 71 98
663 40 69
664 73 56
665 79 48
666 24 1
667 18 89
668 23 56
669 67 90
670 1 33
671 88 73
672 26 90
673 35 22
674 71 27
675 19 32
676 84 71
677 94 93
678 19 37
679 44 9
680 84 31
681 52 89
682 98 23
683 51 32
684 43 4
685 10 50
686 28 74
687 23 96
688 31 46
689 50 6
690 18 72
691 57 62
692 36 69
693 89 63
694 30 7
695 42 86
696 79 16
697 48 47
698 17 33
699 36 64
700 13 85
701 34 12
702 36 13
703 59 65
704 80 76
705 81 23
706 10 89
707 64 0
708 26 20
709 99 90
710 15 71
711 88 19
712 31 18
713 43 55
714 89 31
715 49 64
716 96 10
717 63 84
718 94 50
719 5 89
720 37 30
721 60 97
722 29 60
723 6 79
724 47 27
725 99 76
