# N=150  D=45  Area=100
# id x y
0 50 50
1 75 49
2 2 91
3 45 43
4 55 90
5 94 28
6 56 49
7 90 39
8 88 37
9 39 41
10 14 44
11 99 1
12 82 52
13 30 94
14 84 80
15 1 44
16 72 22
17 22 85
18 13 67
19 98 29
20 74 67
21 46 81
22 20 83
23 38 89
24 97 1
25 24 53
26 29 20
27 94 17
28 20 28
29 24 59
30 62 87
31 44 6
32 56 22
33 66 97
34 29 8
35 28 43
36 64 40
37 21 54
38 100 42
39 32 92
40 28 65
41 70 12
42 55 15
43 64 37
44 35 7
45 59 15
46 65 47
47 48 25
48 82 98
49 85 97
50 57 92
51 56 41
52 4 80
53 25 91
54 99 47
55 92 8
56 7 17
57 78 90
58 61 7
59 18 99
60 97 92
61 47 60
62 89 17
63 58 88
64 82 10
65 75 5
66 59 51
67 99 71
68 78 76
69 57 87
70 78 6
71 93 73
72 61 21
73 100 96
74 57 0
75 74 85
76 64 84
77 75 48
78 95 38
79 81 98
80 27 66
81 48 50
82 85 39
83 56 23
84 77 81
85 56 31
86 22 78
87 24 98
88 36 68
89 22 98
90 41 96
91 65 87
92 69 33
93 32 6
94 10 57
95 20 75
96 74 37
97 44 93
98 84 6
99 88 40
100 41 10
101 43 19
102 96 14
103 93 89
104 100 11
105 88 42
106 62 27
107 67 31
108 66 71
109 55 44
110 82 71
111 33 8
112 36 45
113 57 61
114 45 67
115 78 14
116 37 89
117 61 97
118 43 15
119 37 24
120 36 55
121 25 16
122 20 23
123 65 43
124 32 69
125 10 93
126 65 28
127 29 31
128 38 64
129 32 9
130 38 58
131 83 52
132 18 47
133 45 17
134 48 47
135 51 86
136 89 28
137 85 94
138 2 1
139 91 98
140 26 31
141 19 22
142 80 74
143 11 26
144 40 22
145 52 44
146 36 59
147 81 90
148 67 21
149 12 47
