# N=499  D=15  Area=100
# id x y
0 50 50
1 45 95
2 97 56
3 1 46
4 92 17
5 38 84
6 37 58
7 62 41
8 9 96
9 40 66
10 100 22
11 24 17
12 3 94
13 89 21
14 75 48
15 95 96
16 74 56
17 65 78
18 63 10
19 68 44
20 57 18
21 58 68
22 44 57
23 37 66
24 47 58
25 0 78
26 9 84
27 33 76
28 28 56
29 9 80
30 66 42
31 10 61
32 67 84
33 36 69
34 11 71
35 52 94
36 27 64
37 12 54
38 80 65
39 67 32
40 25 26
41 29 80
42 75 32
43 47 49
44 86 35
45 11 54
46 51 68
47 7 15
48 13 34
49 58 28
50 73 29
51 31 11
52 28 46
53 9 0
54 90 93
55 69 57
56 43 3
57 12 11
58 20 18
59 34 50
60 35 15
61 26 15
62 1 65
63 30 56
64 10 9
65 84 19
66 66 25
67 43 56
68 8 37
69 77 39
70 83 2
71 75 12
72 87 33
73 57 78
74 13 92
75 8 92
76 67 35
77 45 66
78 73 8
79 65 33
80 48 96
81 21 60
82 66 95
83 7 53
84 8 39
85 45 77
86 58 95
87 51 90
88 76 61
89 13 68
90 76 19
91 65 79
92 90 68
93 14 66
94 91 96
95 94 88
96 58 91
97 96 57
98 25 78
99 2 55
100 65 2
101 54 8
102 7 82
103 1 99
104 28 50
105 4 0
106 36 15
107 63 50
108 37 11
109 29 27
110 100 7
111 78 72
112 50 82
113 95 15
114 73 92
115 66 1
116 54 22
117 89 37
118 95 42
119 95 99
120 96 84
121 4 58
122 67 91
123 21 66
124 72 87
125 8 86
126 86 13
127 100 79
128 73 73
129 33 4
130 15 89
131 94 11
132 62 57
133 1 11
134 71 80
135 83 6
136 64 2
137 84 28
138 11 72
139 18 99
140 1 36
141 90 65
142 17 14
143 62 1
144 26 69
145 76 57
146 44 17
147 82 94
148 63 58
149 68 80
150 51 2
151 71 67
152 91 36
153 53 74
154 55 32
155 43 50
156 77 22
157 76 39
158 76 34
159 56 34
160 68 85
161 60 71
162 47 13
163 86 92
164 34 86
165 29 60
166 37 43
167 69 1
168 97 16
169 92 83
170 18 47
171 68 71
172 4 99
173 20 27
174 87 16
175 62 2
176 8 21
177 0 14
178 96 3
179 17 11
180 59 15
181 78 61
182 49 7
183 33 16
184 63 3
185 48 23
186 20 87
187 73 80
188 78 47
189 93 24
190 31 83
191 31 36
192 0 50
193 10 14
194 16 98
195 23 36
196 75 88
197 21 58
198 18 13
199 12 48
200 70 26
201 74 10
202 17 96
203 79 67
204 29 47
205 77 92
206 61 53
207 89 6
208 40 97
209 61 4
210 18 69
211 78 77
212 90 7
213 84 92
214 94 30
215 47 67
216 30 5
217 24 45
218 35 34
219 61 68
220 40 48
221 77 4
222 21 19
223 56 22
224 96 80
225 68 26
226 77 68
227 95 84
228 70 50
229 99 26
230 21 12
231 91 12
232 8 96
233 7 42
234 11 49
235 18 95
236 46 17
237 98 33
238 43 95
239 100 10
240 62 23
241 68 98
242 62 80
243 32 21
244 33 25
245 63 18
246 91 98
247 76 74
248 45 57
249 90 25
250 52 0
251 85 85
252 24 100
253 61 0
254 99 52
255 66 23
256 99 63
257 73 63
258 64 26
259 60 17
260 6 43
261 55 56
262 70 88
263 48 22
264 48 41
265 6 36
266 99 79
267 16 6
268 37 53
269 83 4
270 87 32
271 12 38
272 75 66
273 48 32
274 13 1
275 23 90
276 46 23
277 78 14
278 32 17
279 87 40
280 17 95
281 91 92
282 56 69
