# N=300  D=15  Area=100
# id x y
0 50 50
1 69 95
2 7 45
3 55 79
4 89 96
5 35 96
6 34 18
7 92 8
8 62 35
9 46 74
10 52 25
11 83 6
12 46 22
13 14 23
14 62 4
15 35 3
16 33 15
17 60 59
18 31 3
19 4 23
20 25 59
21 67 3
22 39 72
23 11 12
24 81 96
25 53 65
26 3 7
27 29 45
28 73 69
29 64 59
30 85 77
31 85 78
32 29 65
33 26 49
34 90 52
35 17 97
36 80 10
37 89 42
38 81 77
39 16 23
40 56 50
41 59 61
42 16 25
43 90 15
44 77 49
45 91 72
46 30 83
47 45 83
48 46 38
49 35 2
50 100 2
51 37 10
52 60 39
53 58 71
54 59 28
55 10 10
56 45 58
57 39 0
58 69 71
59 38 22
60 50 73
61 75 80
62 97 92
63 97 38
64 45 46
65 45 68
66 92 91
67 3 24
68 89 3
69 66 10
70 51 28
71 42 63
72 8 8
73 28 86
74 26 80
75 62 67
76 72 92
77 51 60
78 74 8
79 21 47
80 30 74
81 96 93
82 38 89
83 73 93
84 17 22
85 56 58
86 93 24
87 1 79
88 21 1
89 68 66
90 38 78
91 76 84
92 65 41
93 83 71
94 55 57
95 17 17
96 21 71
97 42 25
98 62 60
99 91 84
100 50 4
101 81 9
102 23 69
103 23 34
104 76 32
105 39 83
106 76 2
107 69 3
108 93 95
109 100 84
110 96 7
111 99 43
112 57 13
113 66 86
114 37 63
115 86 40
116 24 95
117 56 21
118 32 42
119 45 26
120 60 25
121 30 33
122 81 90
123 98 51
124 70 70
125 70 55
126 1 99
127 97 41
128 84 14
129 7 35
130 70 6
131 34 45
132 52 49
133 21 57
134 88 89
135 97 96
136 76 23
137 100 53
138 24 84
139 56 98
140 20 26
141 22 79
142 64 60
143 64 99
144 62 72
145 1 23
146 33 7
147 4 17
148 51 99
149 24 63
150 100 55
151 30 34
152 44 73
153 45 71
154 94 89
155 45 33
156 29 8
157 45 32
158 60 12
159 97 40
160 79 55
161 34 83
162 76 3
163 94 1
164 34 21
165 77 51
166 98 32
167 7 100
168 16 35
169 100 10
170 20 95
171 31 9
172 58 48
173 11 82
174 71 24
175 66 60
176 36 92
177 89 78
178 82 53
179 57 67
180 85 50
181 24 56
182 38 32
183 10 3
184 42 99
185 59 10
186 35 39
187 1 3
188 23 13
189 46 54
190 18 94
191 78 72
192 86 64
193 30 96
194 9 36
195 57 26
196 77 0
197 81 32
198 35 61
199 3 56
200 57 41
201 21 29
202 82 68
203 81 99
204 2 28
205 57 1
206 77 86
207 30 95
208 57 61
209 79 76
210 82 15
211 98 9
212 22 9
213 84 8
214 21 98
215 10 39
216 19 66
217 48 50
218 50 45
219 27 62
220 83 28
221 45 100
222 92 70
223 62 79
224 34 28
225 54 89
226 40 14
227 20 61
228 67 61
229 0 91
230 59 60
231 66 48
232 58 57
233 57 46
234 71 33
235 77 55
236 3 20
237 29 20
238 52 72
239 60 21
240 23 96
241 78 89
242 64 36
243 0 87
244 7 19
245 22 38
246 31 0
247 50 99
248 86 50
249 84 33
250 19 44
251 93 15
252 69 65
253 8 100
254 36 21
255 63 56
256 72 93
257 21 50
258 59 39
259 59 15
260 51 62
261 77 75
262 20 82
263 6 95
264 59 97
265 100 50
266 93 55
267 76 60
268 12 32
269 22 100
270 96 22
271 26 58
272 0 81
273 40 75
274 10 71
275 55 55
276 39 63
277 75 26
278 41 94
279 6 82
280 92 92
281 77 76
282 2 7
283 41 73
284 16 36
285 11 96
286 39 64
287 24 25
288 82 74
289 76 96
290 40 40
291 43 49
292 34 15
293 78 92
294 4 56
295 35 1
296 70 23
297 95 97
298 61 89
299 1 40
