# N=100  D=30  Area=100
# id x y
0 50 50
1 65 25
2 22 88
3 3 44
4 0 1
5 30 45
6 71 86
7 74 23
8 3 19
9 25 17
10 18 30
11 28 85
12 59 83
13 96 28
14 25 38
15 25 21
16 19 97
17 35 40
18 65 36
19 77 56
20 81 15
21 32 81
22 12 71
23 33 45
24 36 86
25 60 47
26 79 49
27 0 8
28 55 33
29 13 100
30 40 75
31 89 29
32 69 58
33 18 33
34 51 13
35 37 4
36 54 91
37 78 74
38 13 79
39 5 82
40 50 21
41 12 85
42 57 3
43 6 90
44 81 52
45 18 65
46 33 46
47 33 77
48 75 26
49 47 51
50 20 86
51 87 3
52 15 14
53 23 88
54 6 77
55 54 40
56 66 27
57 78 77
58 54 38
59 54 12
60 78 59
61 76 30
62 60 36
63 89 80
64 26 93
65 13 55
66 70 32
67 97 68
68 54 76
69 69 78
70 75 87
71 71 40
72 69 23
73 77 10
74 98 93
75 15 4
76 49 55
77 16 32
78 57 20
79 18 11
80 31 67
81 45 88
82 60 71
83 41 38
84 78 93
85 43 28
86 81 61
87 86 0
88 97 78
89 84 77
90 55 65
91 64 63
92 80 56
93 29 91
94 82 80
95 5 95
96 93 41
97 32 68
98 66 79
99 88 49
