# N=100  D=30  Area=100
# id x y
0 50 50
1 71 81
2 52 62
3 20 53
4 28 56
5 48 80
6 13 46
7 35 42
8 0 13
9 65 34
10 49 65
11 5 65
12 73 81
13 15 55
14 15 33
15 88 93
16 24 34
17 38 78
18 13 12
19 88 92
20 42 28
21 30 82
22 47 26
23 54 3
24 53 9
25 94 29
26 86 73
27 69 89
28 50 10
29 46 56
30 54 94
31 16 25
32 55 75
33 96 37
34 45 24
35 96 27
36 95 100
37 22 89
38 52 20
39 37 41
40 16 53
41 21 68
42 97 42
43 24 93
44 5 82
45 41 51
46 34 76
47 2 71
48 26 65
49 40 25
50 93 52
51 4 70
52 33 14
53 70 2
54 19 25
55 33 43
56 45 47
57 52 59
58 95 22
59 13 18
60 3 44
61 28 67
62 3 87
63 81 48
64 48 20
65 56 11
66 41 29
67 94 64
68 3 61
69 56 73
70 20 29
71 95 58
72 85 34
73 70 58
74 23 5
75 24 84
76 9 46
77 2 4
78 63 100
79 52 76
80 17 72
81 100 7
82 75 74
83 54 80
84 32 98
85 69 61
86 24 65
87 96 40
88 34 26
89 92 7
90 14 70
91 16 63
92 89 50
93 40 46
94 100 61
95 26 18
96 35 67
97 64 71
98 29 15
99 32 5
